    N   =   10000
      x:            y:             z:          PE:            KE:
     -10.572160      15.625094     0.19519347
     -10.607955      15.599995     0.19556411
     -10.643696      15.574814     0.19593373
     -10.679382      15.549553     0.19630233
     -10.715012      15.524211     0.19666991
     -10.750587      15.498789     0.19703648
     -10.786105      15.473286     0.19740202
     -10.821568      15.447702     0.19776653
     -10.856975      15.422039     0.19813002
     -10.892325      15.396295     0.19849248
     -10.927618      15.370471     0.19885391
     -10.962855      15.344568     0.19921430
     -10.998035      15.318584     0.19957366
     -11.033158      15.292521     0.19993198
     -11.068223      15.266379     0.20028927
     -11.103231      15.240157     0.20064551
     -11.138181      15.213856     0.20100071
     -11.173073      15.187476     0.20135486
     -11.207907      15.161017     0.20170797
     -11.242683      15.134479     0.20206003
     -11.277401      15.107863     0.20241104
     -11.312059      15.081167     0.20276100
     -11.346659      15.054394     0.20310990
     -11.381200      15.027542     0.20345774
     -11.415682      15.000612     0.20380453
     -11.450104      14.973604     0.20415026
     -11.484467      14.946518     0.20449492
     -11.518770      14.919354     0.20483852
     -11.553013      14.892113     0.20518105
     -11.587196      14.864794     0.20552252
     -11.621319      14.837397     0.20586292
     -11.655381      14.809924     0.20620224
     -11.689383      14.782373     0.20654049
     -11.723323      14.754746     0.20687767
     -11.757203      14.727041     0.20721377
     -11.791021      14.699260     0.20754879
     -11.824778      14.671402     0.20788273
     -11.858474      14.643468     0.20821558
     -11.892107      14.615458     0.20854735
     -11.925679      14.587372     0.20887804
     -11.959189      14.559209     0.20920763
     -11.992636      14.530971     0.20953614
     -12.026021      14.502657     0.20986356
     -12.059343      14.474267     0.21018988
     -12.092602      14.445802     0.21051510
     -12.125798      14.417262     0.21083923
     -12.158931      14.388646     0.21116226
     -12.192001      14.359956     0.21148419
     -12.225007      14.331191     0.21180501
     -12.257949      14.302350     0.21212473
     -12.290828      14.273436     0.21244335
     -12.323642      14.244447     0.21276085
     -12.356392      14.215384     0.21307725
     -12.389078      14.186246     0.21339254
     -12.421699      14.157035     0.21370671
     -12.454255      14.127749     0.21401977
     -12.486746      14.098390     0.21433171
     -12.519172      14.068958     0.21464253
     -12.551533      14.039452     0.21495223
     -12.583828      14.009873     0.21526081
     -12.616058      13.980221     0.21556827
     -12.648222      13.950495     0.21587460
     -12.680319      13.920697     0.21617981
     -12.712351      13.890827     0.21648388
     -12.744316      13.860884     0.21678683
     -12.776215      13.830868     0.21708865
     -12.808047      13.800780     0.21738933
     -12.839812      13.770621     0.21768887
     -12.871510      13.740389     0.21798728
     -12.903141      13.710086     0.21828455
